Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Fotoform,Grief is a Garden (Forever in Bloom),This City is Over,"shoegaze,dream pop,cold wave",2025-04-18,0.0,0,0.0,0.0,0.0,,42.3744,Spotify,,,,
The Altons,Heartache in Room 14,Over and Over,retro soul,2025-02-14,0.0,0,0.0,0.0,0.0,,35.74885,Spotify,,,,
Matt Maltese,Hers,Pined For You My Whole Life,,2025-05-16,0.0,0,0.0,0.0,0.0,,39.21418333333333,Spotify,,,,
The Hunts,Hibernating Heart,Life Is Good,"folk pop,indie folk",2025-01-03,0.0,0,0.0,0.0,0.0,,47.78515,Spotify,,,,
Flora from Kansas,Homesick,Scared Away,,2025-03-14,0.0,0,0.0,0.0,0.0,,14.547083333333331,Spotify,,,,
anamē,Hopes & Fears,It Can Be Better Now,"melodic house,progressive trance,trance",2025-02-21,0.0,0,0.0,0.0,0.0,,51.007866666666665,Spotify,,,,
Jeanines,How Long Can It Last,To Fail,jangle pop,2025-06-27,0.0,0,0.0,0.0,0.0,,21.72945,Spotify,,,,
Leith Ross,I Can See The Future,Point of View,,2025-09-19,0.0,0,0.0,0.0,0.0,,48.66216666666666,Spotify,,,,
Jensen McRae,I Don't Know How But They Found Me!,Massachusetts,,2025-04-25,0.0,0,0.0,0.0,0.0,,31.814716666666666,Spotify,,,,
Cynthia Erivo,I Forgive You,Best For Me,musicals,2025-06-06,0.0,0,0.0,0.0,0.0,,63.8247,Spotify,,,,
Sydney Rose,I Know What I Want,5 More Minutes,,2025-04-04,0.0,0,0.0,0.0,0.0,,24.782066666666665,Spotify,,,,
Moontype,I Let the Wind Push Down On Me,Let Me Cry,,2025-05-23,0.0,0,0.0,0.0,0.0,,45.86835,Spotify,,,,
Arny Margret,"I Miss You, I Do",Day Old Thoughts,,2025-03-07,0.0,0,0.0,0.0,0.0,,35.399633333333334,Spotify,,,,
Noah Cyrus,I WANT MY LOVED ONES TO GO WITH ME,Way Of The World (feat. Ella Langley),,2025-07-11,0.0,0,0.0,0.0,0.0,,42.314283333333336,Spotify,,,,
HAIM,I quit,Relationships,,2025-06-20,0.0,0,0.0,0.0,0.0,,53.019733333333335,Spotify,,,,
Ayoni,ISOLA,Comeback,,2025-09-10,0.0,0,0.0,0.0,0.0,,51.9671,Spotify,,,,
Spacey Jane,If That Makes Sense,Whateverrrr,surf rock,2025-05-09,0.0,0,0.0,0.0,0.0,,41.64631666666666,Spotify,,,,
Blondshell,If You Asked For A Picture,T&A,,2025-05-02,0.0,0,0.0,0.0,0.0,,46.98838333333333,Spotify,,,,
Charlie Cunningham,In Light,This I Know,,2025-03-14,0.0,0,0.0,0.0,0.0,,30.89935,Spotify,,,,
Smif-N-Wessun,Infinity,Medina,"east coast hip hop,boom bap,old school hip hop,hip hop",2025-02-21,0.0,0,0.0,0.0,0.0,,46.55988333333333,Spotify,,,,
Jack Van Cleaf,JVC,Rattlesnake (feat. Zach Bryan),,2025-05-09,0.0,0,0.0,0.0,0.0,,53.59746666666667,Spotify,,,,
Florist,Jellywish,Have Heaven,,2025-04-04,0.0,0,0.0,0.0,0.0,,33.628933333333336,Spotify,,,,
Heart Attack Man,Joyride The Pale Horse,Lay Down and Die,"midwest emo,pop punk",2025-04-25,0.0,0,0.0,0.0,0.0,,29.599216666666667,Spotify,,,,
Nao,Jupiter,30 Something,"alternative r&b,uk r&b",2025-02-21,0.0,0,0.0,0.0,0.0,,33.80473333333333,Spotify,,,,
Bright Eyes;Hurray For The Riff Raff,Kids Table,Victory City,"indie folk,americana,alt country",2025-09-26,0.0,0,0.0,0.0,0.0,,29.10171666666667,Spotify,,,,
Rico Nasty,LETHAL,SON OF A GUN,,2025-05-16,0.0,0,0.0,0.0,0.0,,33.99888333333333,Spotify,,,,
Lido Pimienta,La Belleza,Overturn (Obertura de la Luz Eterna),"latin alternative,electrocumbia,latin indie",2025-05-16,0.0,0,0.0,0.0,0.0,,28.46848333333333,Spotify,,,,
Gabi Hartmann,La femme aux yeux de sel,Drink the Ocean (feat. Oracle Sisters),"french jazz,vocal jazz",2025-03-21,0.0,0,0.0,0.0,0.0,,101.0825,Spotify,,,,
Lawn,God Made The Highway,Barroom Wonder,jangle pop,2025-09-19,0.0,0,0.0,0.0,0.0,,37.3995,Spotify,,,,
JID;Westside Gunn,God Does Like Ugly,"Community (with Clipse, Pusha T & Malice)","boom bap,alternative hip hop,jazz rap,experimental hip hop",2025-08-08,0.0,0,0.0,0.0,0.0,,57.43526666666666,Spotify,,,,
Heartworms,Glutton For Punishment,Jacked,post-punk,2025-02-07,0.0,0,0.0,0.0,0.0,,37.14695,Spotify,,,,
Uwade,Florilegium,Call It A Draw,,2025-04-25,0.0,0,0.0,0.0,0.0,,67.6048,Spotify,,,,
Pug Johnson,El Cabron,Believer,"red dirt,texas country",2025-03-28,0.0,0,0.0,0.0,0.0,,39.519866666666665,Spotify,,,,
Nadia Reid,Enter Now Brightness,Baby Bright,indie folk,2025-02-07,0.0,0,0.0,0.0,0.0,,40.4649,Spotify,,,,
Miya Folick,Erotica Veronica,This Time Around,,2025-02-28,0.0,0,0.0,0.0,0.0,,41.69341666666666,Spotify,,,,
Teyana Taylor;Taraji P. Henson,Escape Room,Hard Part (feat. Lucky Daye),,2025-08-22,0.0,0,0.0,0.0,0.0,,47.98275,Spotify,,,,
The Loft,Everything Changes Everything Stays The Same,Feel Good Now,jangle pop,2025-03-14,0.0,0,0.0,0.0,0.0,,73.55546666666666,Spotify,,,,
Evan Honer,Everything I Wanted,Lose A Friend,,2025-09-19,0.0,0,0.0,0.0,0.0,,42.55505,Spotify,,,,
Heather Maloney,Exploding Star,Exploding Star,,2025-01-31,0.0,0,0.0,0.0,0.0,,42.88525,Spotify,,,,
SAINt JHN,FESTIVAL SEASON,Hunting Nirvana,,2025-02-21,0.0,0,0.0,0.0,0.0,,50.95105,Spotify,,,,
LA NIÑA,FURÈSTA,FIGLIA D' 'A TEMPESTA,"neomelodico,canzone napoletana",2025-03-21,0.0,0,0.0,0.0,0.0,,28.94633333333333,Spotify,,,,
Ellie Holcomb,Far Country,Wherever I Go,"christian folk,christian,worship",2025-09-12,0.0,0,0.0,0.0,0.0,,44.7333,Spotify,,,,
St. Lucia,Fata Morgana: Dawn,Falling Asleep,,2025-03-14,0.0,0,0.0,0.0,0.0,,44.31625,Spotify,,,,
Madi Diaz,Fatal Optimist,Hope Less,,2025-10-10,0.0,0,0.0,0.0,0.0,,39.28885,Spotify,,,,
Pink Skies,Feels So,Heaven,,2025-03-14,0.0,0,0.0,0.0,0.0,,14.375266666666668,Spotify,,,,
Luke Sital-Singh,Fool's Spring,Little River,indie folk,2025-02-21,0.0,0,0.0,0.0,0.0,,40.36295,Spotify,,,,
Perfume Genius,Glory,It's a Mirror,art pop,2025-03-28,0.0,0,0.0,0.0,0.0,,41.33328333333333,Spotify,,,,
Japanese Breakfast,For Melancholy Brunettes (& sad women),Picture Window,,2025-03-21,0.0,0,0.0,0.0,0.0,,32.377516666666665,Spotify,,,,
Lucy Dacus,Forever Is A Feeling,Bullseye (with Hozier),,2025-03-28,0.0,0,0.0,0.0,0.0,,43.63523333333333,Spotify,,,,
Blu;August Fanon;Chris Clarke;Mickey Factz,Forty,Happy,"jazz rap,underground hip hop",2025-04-18,0.0,0,0.0,0.0,0.0,,38.93403333333333,Spotify,,,,
